model,impulses_detected,blocks_created,blocks_touched,filter_rejections,signals_confirmed,reaction_rejections,entry_rejections,trades_closed,wins,losses,break_even,win_rate_pct,profit_factor,expectancy_usd,net_profit_usd,final_capital_usd,max_drawdown_pct,is_trades,is_net_profit_usd,is_expectancy_usd,is_win_rate_pct,is_profit_factor,oos_trades,oos_net_profit_usd,oos_expectancy_usd,oos_win_rate_pct,oos_profit_factor
M0,3555,3555,2003,0,106,1897,0,106,16,90,24,15.09433962264151,0.3077807276791812,-33.138740566041896,-3512.7065000004413,6487.293499999558,-35.372665000003934,63,-2571.11600000028,-40.81136507936952,12.698412698412698,0.24105744177346816,43,-941.5905000001617,-21.897453488375852,18.6046511627907,0.4417877319522059
M1_FVG,3555,3555,16,3516,4,12,0,4,1,3,0,25.0,0.3689222496078827,-42.247500000002994,-168.99000000001197,9831.00999999999,-2.677800000000152,3,-267.78000000001714,-89.26000000000572,0.0,0.0,1,98.79000000000516,98.79000000000516,100.0,
M2_FVG_Swing,3555,3555,2,3552,1,1,0,1,0,1,0,0.0,0.0,-89.24000000000417,-89.24000000000417,9910.759999999997,-0.8924000000000342,1,-89.24000000000417,-89.24000000000417,0.0,0.0,0,0.0,0.0,0.0,
M3_FVG_Swing_Extremum,3555,3555,2,3553,1,1,0,1,0,1,0,0.0,0.0,-89.24000000000417,-89.24000000000417,9910.759999999997,-0.8924000000000342,1,-89.24000000000417,-89.24000000000417,0.0,0.0,0,0.0,0.0,0.0,
M4_All_Filters,3555,3555,1,3554,1,0,0,1,0,1,0,0.0,0.0,-89.24000000000417,-89.24000000000417,9910.759999999997,-0.8924000000000342,1,-89.24000000000417,-89.24000000000417,0.0,0.0,0,0.0,0.0,0.0,
