model,impulses_detected,blocks_created,blocks_touched,filter_rejections,signals_confirmed,reaction_rejections,entry_rejections,trades_closed,wins,losses,break_even,win_rate_pct,profit_factor,expectancy_usd,net_profit_usd,final_capital_usd,max_drawdown_pct,is_trades,is_net_profit_usd,is_expectancy_usd,is_win_rate_pct,is_profit_factor,oos_trades,oos_net_profit_usd,oos_expectancy_usd,oos_win_rate_pct,oos_profit_factor,total_cost_pips
M0_Cost_Sensitivity,3555,3555,2003,0,113,1890,0,113,27,58,28,23.893805309734514,0.8835826345436162,-5.496216814158101,-621.0724999998655,9378.927500000136,-12.771424999997361,67,-1261.3809999999412,-18.826582089551362,19.402985074626866,0.6468382814702655,46,640.3085000000755,13.91975000000164,30.434782608695656,1.3631518874091717,0.0
M0_Cost_Sensitivity,3555,3555,2003,0,109,1894,0,109,24,85,27,22.018348623853214,0.7172090655037725,-12.921944954120415,-1408.4919999991253,8591.50800000087,-19.298669999990917,64,-1673.8924999994624,-26.1545703124916,17.1875,0.5011953158815458,45,265.4005000003365,5.8977888888963665,28.888888888888886,1.1633358986583369,0.5
M0_Cost_Sensitivity,3555,3555,2003,0,109,1894,0,109,23,86,27,21.100917431192663,0.6316092125300521,-16.727096330287022,-1823.2535000012854,8176.746499998709,-20.50383500001075,63,-1868.3995000008529,-29.65713492064846,15.873015873015872,0.4308587124041963,46,45.145999999567536,0.9814347825992943,28.26086956521739,1.0270919672248495,1.0
M0_Cost_Sensitivity,3555,3555,2003,0,106,1897,0,106,19,87,22,17.92452830188679,0.4654774294631175,-25.623985849054176,-2716.1424999997425,7283.857500000257,-27.977924999997185,63,-2081.714499999836,-33.0430873015847,15.873015873015872,0.3796046717228049,43,-634.427999999907,-14.754139534881558,20.930232558139537,0.632422773950006,2.0
M0_Cost_Sensitivity,3555,3555,2003,0,105,1898,0,105,15,90,23,14.285714285714285,0.3218078462747541,-31.622504761898192,-3320.36299999931,6679.637000000689,-33.66772999999311,63,-2367.0834999995236,-37.57275396824641,12.698412698412698,0.2695637455956134,42,-953.2794999997865,-22.69713095237587,16.666666666666664,0.4240906033162975,3.2
