model,impulses_detected,blocks_created,blocks_touched,filter_rejections,signals_confirmed,reaction_rejections,entry_rejections,trades_closed,wins,losses,break_even,win_rate_pct,profit_factor,expectancy_usd,net_profit_usd,final_capital_usd,max_drawdown_pct,is_trades,is_net_profit_usd,is_expectancy_usd,is_win_rate_pct,is_profit_factor,oos_trades,oos_net_profit_usd,oos_expectancy_usd,oos_win_rate_pct,oos_profit_factor
M1_FVG,3555,3555,382,2891,50,332,0,50,7,43,8,14.000000000000002,0.26691968922691395,-41.93734000000557,-2096.8670000002785,7903.1329999997215,-20.991170000002448,31,-1713.5175000001768,-55.27475806452183,9.67741935483871,0.17788181626048039,19,-383.349500000102,-20.17628947368958,21.052631578947366,0.5060435174488361
M1_FVG,3555,3555,223,3128,36,187,0,36,7,29,6,19.444444444444446,0.392334565789261,-34.12105555556065,-1228.3580000001834,8771.641999999816,-13.483380000001489,22,-1094.5680000001196,-49.75309090909634,13.636363636363635,0.2578988689847257,14,-133.7900000000635,-9.556428571433106,28.57142857142857,0.7551785975698002
M1_FVG,3555,3555,148,3264,24,124,0,24,3,21,5,12.5,0.24497378381190016,-45.300000000004964,-1087.2000000001192,8912.799999999877,-11.827000000000972,14,-909.5500000000723,-64.9678571428623,7.142857142857142,0.13325010958850841,10,-177.6500000000471,-17.76500000000471,20.0,0.5451519573954988
M1_FVG,3555,3555,86,3368,20,66,0,20,3,17,3,15.0,0.2789799995224382,-45.29700000000514,-905.9400000001028,9094.0599999999,-10.19040000000079,13,-828.930000000068,-63.76384615385139,7.6923076923076925,0.1464273578202595,7,-77.01000000003481,-11.001428571433545,28.57142857142857,0.7301114459941472
M1_FVG,3555,3555,39,3467,10,29,0,10,1,9,2,10.0,0.14785659943794766,-54.88400000000356,-548.8400000000356,9451.159999999965,-6.260100000000348,8,-626.0100000000359,-78.25125000000449,0.0,0.0,2,77.17000000000027,38.585000000000136,50.0,5.272978959024377
M1_FVG,3555,3555,242,3131,38,204,0,38,7,31,5,18.421052631578945,0.3635348768549764,-36.30815789474199,-1379.7100000001956,8620.289999999808,-14.068900000001467,21,-1008.650000000097,-48.030952380957,14.285714285714285,0.2736522978986771,17,-371.06000000009857,-21.82705882353521,23.52941176470588,0.5237386248410795
M1_FVG,3555,3555,202,3190,34,168,0,34,7,27,5,20.588235294117645,0.41274451934921674,-33.35852941176956,-1134.1900000001651,8865.809999999838,-12.542200000001285,20,-932.7800000000934,-46.63900000000467,15.0,0.2905105269562922,14,-201.4100000000717,-14.386428571433694,28.57142857142857,0.6733644708247242
M1_FVG,3555,3555,142,3288,24,118,0,24,3,21,4,12.5,0.23435423863934673,-48.01875000000529,-1152.450000000127,8847.549999999872,-12.479500000001027,14,-907.9000000000719,-64.85000000000514,7.142857142857142,0.13345995628643734,10,-244.55000000005492,-24.45500000000549,20.0,0.4654294270661629
M1_FVG,3555,3555,84,3378,20,64,0,20,3,17,3,15.0,0.2789799995224382,-45.29700000000514,-905.9400000001028,9094.0599999999,-10.19040000000079,13,-828.930000000068,-63.76384615385139,7.6923076923076925,0.1464273578202595,7,-77.01000000003481,-11.001428571433545,28.57142857142857,0.7301114459941472
M1_FVG,3555,3555,39,3469,10,29,0,10,1,9,2,10.0,0.14785659943794766,-54.88400000000356,-548.8400000000356,9451.159999999965,-6.260100000000348,8,-626.0100000000359,-78.25125000000449,0.0,0.0,2,77.17000000000027,38.585000000000136,50.0,5.272978959024377
M1_FVG,3555,3555,99,3376,21,78,0,21,3,18,4,14.285714285714285,0.28335490183696105,-43.247142857148184,-908.1900000001118,9091.80999999989,-10.061700000000839,13,-827.9300000000671,-63.68692307692824,7.6923076923076925,0.14657829363073893,8,-80.26000000004468,-10.032500000005586,25.0,0.7299007235401604
M1_FVG,3555,3555,99,3376,21,78,0,21,3,18,4,14.285714285714285,0.28335490183696105,-43.247142857148184,-908.1900000001118,9091.80999999989,-10.061700000000839,13,-827.9300000000671,-63.68692307692824,7.6923076923076925,0.14657829363073893,8,-80.26000000004468,-10.032500000005586,25.0,0.7299007235401604
M1_FVG,3555,3555,97,3379,21,76,0,21,3,18,4,14.285714285714285,0.28335490183696105,-43.247142857148184,-908.1900000001118,9091.80999999989,-10.061700000000839,13,-827.9300000000671,-63.68692307692824,7.6923076923076925,0.14657829363073893,8,-80.26000000004468,-10.032500000005586,25.0,0.7299007235401604
M1_FVG,3555,3555,71,3411,18,53,0,18,3,15,3,16.666666666666664,0.3250048031618157,-40.98833333333809,-737.7900000000857,9262.209999999917,-8.523400000000601,12,-745.7100000000626,-62.142500000005214,8.333333333333332,0.16238711416631668,6,7.919999999976866,1.3199999999961445,33.33333333333333,1.039062885326642
M1_FVG,3555,3555,36,3475,10,26,0,10,1,9,2,10.0,0.14785659943794766,-54.88400000000356,-548.8400000000356,9451.159999999965,-6.260100000000348,8,-626.0100000000359,-78.25125000000449,0.0,0.0,2,77.17000000000027,38.585000000000136,50.0,5.272978959024377
