block_id,entry_index,direction,signal_time,entry_time,exit_time,entry,initial_sl,tp,exit,lots,risk_pips,gross_pips,net_pips,pnl_usd,reason,capital_after
544,13776,short,2026-06-09 20:05:00,2026-06-09 20:06:00,2026-06-09 20:21:00,1.1542599999999998,1.15499,1.1527999999999996,1.1551,0.95,7.300000000001194,-8.40000000000174,-9.40000000000174,-89.30000000001652,SL,9910.699999999984
566,14940,short,2026-06-10 15:31:00,2026-06-10 15:32:00,2026-06-10 15:41:00,1.15439,1.15556,1.1520500000000002,1.15567,0.66,11.699999999998933,-12.799999999999478,-13.799999999999478,-91.07999999999656,SL,9819.619999999988
637,16394,short,2026-06-11 15:47:00,2026-06-11 15:48:00,2026-06-11 15:55:00,1.15359,1.1542999999999999,1.15217,1.15441,0.95,7.099999999999884,-8.20000000000043,-9.20000000000043,-87.40000000000407,SL,9732.219999999985
1143,25757,short,2026-06-22 04:06:00,2026-06-22 04:07:00,2026-06-22 05:17:00,1.1471,1.14765,1.146,1.14611,1.11,5.5000000000005045,9.900000000000464,8.900000000000464,98.79000000000516,TP,9831.00999999999
