block_id,entry_index,direction,signal_time,entry_time,exit_time,entry,initial_sl,tp,exit,lots,risk_pips,gross_pips,net_pips,pnl_usd,reason,capital_after
1137,25757,short,2026-06-22 04:06:00,2026-06-22 04:07:00,2026-06-22 06:42:00,1.1471,1.14774,1.14582,1.1459300000000001,0.92,6.399999999999739,11.699999999998933,10.699999999998933,98.43999999999019,TP,8943.96999999988
1224,26509,short,2026-06-22 16:38:00,2026-06-22 16:39:00,2026-06-22 17:08:00,1.14378,1.14465,1.1420400000000002,1.14389,0.75,8.699999999999264,-1.100000000000545,-2.100000000000545,-15.750000000004087,BE,8928.219999999876
1355,29374,short,2026-06-24 16:27:00,2026-06-24 16:28:00,2026-06-24 16:32:00,1.13348,1.1340999999999999,1.1322400000000004,1.13421,0.94,6.199999999998429,-7.299999999998974,-8.299999999998974,-78.01999999999035,SL,8850.199999999886
1448,30756,short,2026-06-25 15:31:00,2026-06-25 15:32:00,2026-06-25 15:37:00,1.1346699999999998,1.13575,1.1325099999999995,1.13586,0.63,10.80000000000192,-11.900000000002464,-12.900000000002464,-81.27000000001553,SL,8768.929999999871
1621,33355,long,2026-06-29 10:55:00,2026-06-29 10:56:00,2026-06-29 11:24:00,1.14039,1.13979,1.1415899999999999,1.13968,0.95,5.999999999999339,-7.099999999999884,-8.099999999999884,-76.9499999999989,SL,8691.979999999872
1626,33627,long,2026-06-29 15:27:00,2026-06-29 15:28:00,2026-06-29 17:15:00,1.14045,1.13967,1.14201,1.14034,0.79,7.800000000000029,-1.100000000000545,-2.100000000000545,-16.590000000004306,BE,8675.389999999868
1634,33766,long,2026-06-29 17:46:00,2026-06-29 17:47:00,2026-06-30 03:17:00,1.14158,1.1406515,1.1434370000000003,1.14147,0.69,9.285000000001098,-1.100000000000545,-2.100000000000545,-14.49000000000376,BE,8660.899999999865
1652,34407,short,2026-06-30 04:29:00,2026-06-30 04:30:00,2026-06-30 05:54:00,1.1413499999999999,1.14193,1.1401899999999998,1.1402999999999999,0.96,5.800000000000249,10.499999999999954,9.499999999999954,91.19999999999955,TP,8752.099999999864
1659,34707,short,2026-06-30 09:29:00,2026-06-30 09:30:00,2026-06-30 09:55:00,1.1395899999999999,1.14018,1.1384099999999997,1.14029,0.96,5.9000000000009045,-7.0000000000014495,-8.00000000000145,-76.80000000001391,SL,8675.29999999985
1692,35159,long,2026-06-30 17:01:00,2026-06-30 17:02:00,2026-06-30 17:15:00,1.13952,1.13877,1.1410200000000001,1.14091,0.81,7.500000000000284,13.900000000000023,12.900000000000023,104.4900000000002,TP,8779.78999999985
1928,39087,long,2026-07-03 10:35:00,2026-07-03 10:36:00,2026-07-03 12:46:00,1.14518,1.1445400000000001,1.14646,1.14443,0.91,6.399999999999739,-7.500000000000284,-8.500000000000284,-77.35000000000258,SL,8702.439999999848
2026,43862,long,2026-07-08 18:17:00,2026-07-08 18:18:00,2026-07-08 18:37:00,1.14023,1.1394600000000001,1.14177,1.13935,0.79,7.699999999999374,-8.799999999999919,-9.799999999999919,-77.41999999999936,SL,8625.019999999848
